Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
399;Berlin-Alexanderplatz;R1;01.09.1995;01.08.2011;3727;Gesamt_Messzeitraum;eor;                                                                                                                        
399;Berlin-Alexanderplatz;RS_IND;01.09.1995;01.08.2011;3727;Gesamt_Messzeitraum;eor;                                                                                                                    
399;Berlin-Alexanderplatz;WRTR;01.09.1995;17.12.2008;37;Gesamt_Messzeitraum;eor;                                                                                                                        
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
399;Berlin-Alexanderplatz;R1;11.09.1995-22:00;11.09.1995-23:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;21.09.1995-10:00;27.09.1995-10:00;144;;eor;                                                                                                                                
399;Berlin-Alexanderplatz;R1;28.09.1995-11:00;02.10.1995-08:00;93;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;10.10.1995-10:00;14.10.1995-09:00;95;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;20.10.1995-12:00;22.10.1995-14:00;50;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;24.10.1995-06:00;24.10.1995-08:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;16.11.1995-14:00;16.11.1995-15:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.02.1996-02:00;02.02.1996-10:00;32;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;04.03.1996-10:00;04.03.1996-12:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;02.04.1996-09:00;03.04.1996-14:00;29;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;16.04.1996-04:00;16.04.1996-05:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;16.04.1996-10:00;16.04.1996-11:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;20.04.1996-06:00;20.04.1996-12:00;6;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;09.05.1996-00:00;09.05.1996-01:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;13.05.1996-06:00;13.05.1996-08:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;11.07.1996-23:00;12.07.1996-00:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;01.11.1996-23:00;02.11.1996-00:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;05.11.1996-13:00;05.11.1996-15:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;06.11.1996-10:00;06.11.1996-11:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;19.11.1996-08:00;19.11.1996-09:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;05.12.1996-09:00;05.12.1996-12:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;25.02.1997-10:00;25.02.1997-14:00;4;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;18.03.1997-10:00;20.03.1997-07:00;45;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;20.03.1997-09:00;20.03.1997-10:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;13.05.1997-09:00;15.05.1997-13:00;52;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;04.06.1997-06:00;04.06.1997-07:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;06.06.1997-00:00;13.06.1997-07:00;175;;eor;                                                                                                                                
399;Berlin-Alexanderplatz;R1;13.06.1997-10:00;16.06.1997-04:00;66;;eor;                                                                                                                                 
399;Berlin-Alexanderplatz;R1;01.08.1997-06:00;01.08.1997-07:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;04.09.1997-03:00;04.09.1997-05:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;07.09.1997-00:00;07.09.1997-03:00;3;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;12.09.1997-09:00;12.09.1997-10:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;23.09.1997-22:00;23.09.1997-23:00;1;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;24.10.1997-09:00;24.10.1997-11:00;2;;eor;                                                                                                                                  
399;Berlin-Alexanderplatz;R1;28.02.1998-15:00;02.03.1998-09:00;42;;eor;                                                                                                                                 
