Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3791;Oldenburg;R1;30.09.1998-18:00;30.09.1998-20:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;30.09.1998-23:00;01.10.1998-00:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;06.10.1998-09:00;06.10.1998-10:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;06.10.1998-23:00;07.10.1998-00:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;11.10.1998-00:00;11.10.1998-01:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;14.10.1998-14:00;14.10.1998-16:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;17.10.1998-23:00;18.10.1998-00:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;18.10.1998-23:00;19.10.1998-00:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;21.10.1998-23:00;22.10.1998-00:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;22.10.1998-16:00;22.10.1998-19:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;28.10.1998-10:00;28.10.1998-11:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;16.11.1998-10:00;16.11.1998-12:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;29.11.1998-12:00;29.11.1998-14:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;08.12.1998-08:00;08.12.1998-09:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;17.01.1999-09:00;17.01.1999-20:00;11;;eor;                                                                                                                                            
3791;Oldenburg;R1;10.02.1999-06:00;10.02.1999-09:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;24.02.1999-00:00;24.02.1999-05:00;5;;eor;                                                                                                                                             
3791;Oldenburg;R1;24.02.1999-15:00;24.02.1999-18:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;28.02.1999-00:00;28.02.1999-04:00;4;;eor;                                                                                                                                             
3791;Oldenburg;R1;23.04.1999-11:00;24.04.1999-13:00;26;;eor;                                                                                                                                            
3791;Oldenburg;R1;24.04.1999-15:00;27.04.1999-12:00;69;;eor;                                                                                                                                            
3791;Oldenburg;R1;10.05.1999-11:00;10.05.1999-13:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;28.05.1999-05:00;28.05.1999-06:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;23.06.1999-10:00;23.06.1999-14:00;4;;eor;                                                                                                                                             
3791;Oldenburg;R1;07.11.1999-00:00;07.11.1999-03:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;18.11.1999-10:00;18.11.1999-11:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;18.11.1999-13:00;18.11.1999-14:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;07.03.2000-19:00;08.03.2000-05:00;10;;eor;                                                                                                                                            
3791;Oldenburg;R1;10.03.2000-12:00;10.03.2000-15:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;25.08.2000-07:00;25.08.2000-14:00;7;;eor;                                                                                                                                             
3791;Oldenburg;R1;28.08.2000-13:00;28.08.2000-14:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;01.09.2000-07:00;01.09.2000-14:00;7;;eor;                                                                                                                                             
3791;Oldenburg;R1;04.12.2000-16:00;05.12.2000-03:00;11;;eor;                                                                                                                                            
3791;Oldenburg;R1;05.12.2000-23:00;06.12.2000-02:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;14.01.2001-00:00;14.01.2001-06:00;6;;eor;                                                                                                                                             
3791;Oldenburg;R1;14.01.2001-12:00;14.01.2001-18:00;6;;eor;                                                                                                                                             
3791;Oldenburg;R1;25.02.2001-15:00;25.02.2001-19:00;4;;eor;                                                                                                                                             
3791;Oldenburg;R1;20.03.2001-10:00;20.03.2001-11:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;29.03.2001-07:00;29.03.2001-20:00;13;;eor;                                                                                                                                            
3791;Oldenburg;R1;01.04.2001-00:00;01.04.2001-11:00;11;;eor;                                                                                                                                            
3791;Oldenburg;R1;01.04.2001-13:00;01.04.2001-17:00;4;;eor;                                                                                                                                             
3791;Oldenburg;R1;01.04.2001-19:00;01.04.2001-23:00;4;;eor;                                                                                                                                             
3791;Oldenburg;R1;02.04.2001-01:00;02.04.2001-05:00;4;;eor;                                                                                                                                             
3791;Oldenburg;R1;02.04.2001-07:00;02.04.2001-11:00;4;;eor;                                                                                                                                             
3791;Oldenburg;R1;02.04.2001-13:00;02.04.2001-17:00;4;;eor;                                                                                                                                             
3791;Oldenburg;R1;02.04.2001-19:00;02.04.2001-23:00;4;;eor;                                                                                                                                             
3791;Oldenburg;R1;04.04.2001-15:00;04.04.2001-16:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;06.04.2001-02:00;06.04.2001-05:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;06.04.2001-18:00;07.04.2001-05:00;11;;eor;                                                                                                                                            
3791;Oldenburg;R1;10.04.2001-08:00;10.04.2001-11:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;10.04.2001-13:00;10.04.2001-14:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;11.04.2001-04:00;11.04.2001-05:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;08.05.2001-08:00;08.05.2001-09:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;03.08.2001-01:00;03.08.2001-05:00;4;;eor;                                                                                                                                             
3791;Oldenburg;R1;03.08.2001-07:00;03.08.2001-09:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;03.08.2001-11:00;03.08.2001-18:00;7;;eor;                                                                                                                                             
3791;Oldenburg;R1;04.08.2001-09:00;04.08.2001-17:00;8;;eor;                                                                                                                                             
3791;Oldenburg;R1;05.08.2001-08:00;05.08.2001-09:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;07.08.2001-07:00;07.08.2001-08:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;27.08.2001-07:00;27.08.2001-18:00;11;;eor;                                                                                                                                            
3791;Oldenburg;R1;28.08.2001-06:00;28.08.2001-09:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;22.07.2002-08:00;22.07.2002-16:00;8;;eor;                                                                                                                                             
3791;Oldenburg;R1;23.09.2002-10:00;23.09.2002-12:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;25.09.2002-14:00;25.09.2002-15:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;26.09.2002-20:00;26.09.2002-23:00;3;;eor;                                                                                                                                             
3791;Oldenburg;R1;27.09.2002-06:00;27.09.2002-17:00;11;;eor;                                                                                                                                            
3791;Oldenburg;R1;28.09.2002-13:00;28.09.2002-15:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;28.09.2002-18:00;29.09.2002-05:00;11;;eor;                                                                                                                                            
3791;Oldenburg;R1;05.10.2002-07:00;05.10.2002-16:00;9;;eor;                                                                                                                                             
3791;Oldenburg;R1;05.10.2002-18:00;06.10.2002-02:00;8;;eor;                                                                                                                                             
3791;Oldenburg;R1;06.10.2002-04:00;06.10.2002-13:00;9;;eor;                                                                                                                                             
3791;Oldenburg;R1;06.10.2002-15:00;06.10.2002-17:00;2;;eor;                                                                                                                                             
3791;Oldenburg;R1;07.10.2002-04:00;07.10.2002-11:00;7;;eor;                                                                                                                                             
3791;Oldenburg;R1;24.10.2002-07:00;24.10.2002-15:00;8;;eor;                                                                                                                                             
3791;Oldenburg;R1;17.12.2003-15:00;19.12.2003-05:00;38;;eor;                                                                                                                                            
3791;Oldenburg;R1;27.11.2004-22:00;27.11.2004-23:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;16.09.2005-06:00;16.09.2005-07:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;16.09.2005-11:00;16.09.2005-12:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;16.09.2005-17:00;16.09.2005-18:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;16.09.2005-20:00;16.09.2005-21:00;1;;eor;                                                                                                                                             
3791;Oldenburg;R1;03.10.2005-00:00;03.10.2005-02:00;2;;eor;                                                                                                                                             
